external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
152,RED,“ORNELLAIA” IL VIGORE BOLGHERI SUPERIORE ,,,BOTTLE,0,25500,0.0,0.0,,
152,RED,“ORNELLAIA” IL VIGORE BOLGHERI SUPERIORE ,,,MAGNUM,0,25500,0.0,0.0,,
152,RED,“ORNELLAIA” IL VIGORE BOLGHERI SUPERIORE ,,,JEROBOAM,0,25500,0.0,0.0,,
153,RED,“Solaia” Antinori ,,,BOTTLE,0,36500,0.0,0.0,,
154,RED,“Sito Moresco” Nebbiolo Barbera - Merlot Gaja ,,,BOTTLE,0,7900,0.0,0.0,,
155,RED,BARBARESCO - GAJA ,,,BOTTLE,0,25000,0.0,0.0,,
156,RED,CABERNET SAUVIGNON DARMAGI - GAJA ,,,BOTTLE,0,29000,0.0,0.0,,
157,RED,AMARONE DELLA VALPOLICELLA - PIETRO DEL CERO CA DEI FRATI ,,,BOTTLE,0,11800,0.0,0.0,,
158,RED,rosso dogato Merotto,,,MAGNUM,0,0,0.0,0.0,,
158,RED,rosso dogato Merotto,,,JEROBOAM,0,0,0.0,0.0,,
158,RED,rosso dogato Merotto,,,MATHUSALEM,0,0,0.0,0.0,,
159,RED,le pergole torte,,,BOTTLE,0,0,0.0,0.0,,
160,RED,luce Brunello di montalcino,,,BOTTLE,0,0,0.0,0.0,,
161,RED,contrada diciassettesalme etna cattanera,,,BOTTLE,0,0,0.0,0.0,,
162,RED,syrah calle al fico petra,,,BOTTLE,0,0,0.0,0.0,,
163,RED,SASSICAIA - TENUTA SAN GUIDO 2004 2011 2012 2016 2017 2018 2019 2020,,"Wir führen verschiedene Jahrgänge vom Kultwein Sassicaia. Preise auf Anfrage
Abbiamo anche dirverse annate del supertuscan Sassicaia. Prezzo su richiesta
 ",BOTTLE,"['2004', '2011', '2012', '2016', '2017', '2018', '2019', '2020']",0,0.0,0.0,,
164,,Südtiroler Sekt Brut Riserva „36“ Kellerei Meran ,,,MAGNUM,0,8800,0.0,0.0,,
165,,“Comitissa” Pas Dosé Riserva - Südtirol DOC ,,,MAGNUM,0,9600,0.0,0.0,,
166,,“FRANCIACORTA” CA‘ DEL BOSCO ,,,MAGNUM,0,11400,0.0,0.0,,
167,,“LUGANA” - CA DEI FRATI ,,,MAGNUM,0,6400,0.0,0.0,,
168,,„Stoan“ Kellerei Tramin ,,,MAGNUM,0,8400,0.0,0.0,,
169,,Sylvaner „Alte Reben“ Pacherhof ,,,MAGNUM,0,9400,0.0,0.0,,
170,,SAUVIGNON “QUARZ” - TERLAN ,,,MAGNUM,0,17000,0.0,0.0,,
171,,pino grigio st. michael eppan 3 l,,,JEROBOAM,0,0,0.0,0.0,,
172,,“Trattmann” Pinot Noir Riserva Kellerei Girlan ,,,MAGNUM,0,12200,0.0,0.0,,
173,,Merlot Riserva “Passion Limited Edition” DOC 2016 ,,,MAGNUM,['2016'],13500,0.0,0.0,,
174,,MERLOT RISERVA „KRESSFELD“ - WEINGUT KORNELL ,,Gambero Rosso 3 bicchieri,MAGNUM,0,17200,0.0,0.0,,
175,,Merlot “KUNST.STÜCK” RISERVA DOC 2018 Kellerei Kaltern ,,,MAGNUM,['2018'],17500,0.0,0.0,,
