type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
RED,Barolo - Antiche Cantine,,2019,Marchesi di Barolo,6, 33.70 € ,76
RED,Barolo - Antiche Cantine,,2017,,2,,76
RED,Barbaresco,,2022,Bruno Rocca,24,,
RED,Barbaresco Mag,,2022,Bruno Rocca,4,,
RED,Barbaresco Rabajà,,2021,Bruno Rocca,6, 60.00 € ,119
RED,Barbaresco Rabajà,,2020,,3,,119
RED,Barbaresco Rabajà MAG,MAGNUM,2021,,2, 129.00 € ,
RED,Barbera d’Asti,,2020,Frasca,10, 8.50 € ,31
RED,Barbera d’Asti Mag,MAGNUM,2020,Frasca,4, 22.00 € ,62
RED,Barolo Massolino,,2020,Massolino,8, 24.20 € ,59
RED,,,,,,,
RED,Sicilia – Sizilien,,,,,,
RED,Nero d’Avola Ris.a Don Antonio,,2018,Morgante,5, 20.80 € ,51
RED,"Nero d’Avola Ris. Don Antonio 1,5 l",MAGNUM,2019,Morgante,5, 52.20 € ,102
RED,Laeneo (Nerello Cappuccio),,2016,Tenuta di Fessina,4, 11.40 € ,40
RED,Passorosso (Nerello Mascalese),,2021,Passopisciaro,11, 15.00 € ,48
RED,,,,,,,
RED,,,,,,,
RED,Friuli - Friaul,,,,,,
RED,Prelit (Merlot - Cab. Sauvignon) - natural wine,,2017,Damijan Podversic,9, 24.00 € ,59
RED,Prelit (Merlot - Cab. Sauvignon) - natural wine,,2014,,2,,59
RED,,,,,,,
RED,Marche – Marken,,,,,,
RED,Rosso Piceno DOC Maschio da monte,,2018,Santa Barbara,5, 15.00 € ,39
RED,,,,,,,
RED,Abruzzo - Abruzzen,,,,,,
RED,Montepulciano d'Abruzzo,,2021,Emidio Pepe,9, 41.50 € ,87
RED,,,,,,,
RED,Campania – Kampanien,,,,,,
RED,Aglianico Paestum “Donnaluna” BIO,,2019,De Conciliis,18, 9.90 € ,
RED,,,,,,,
RED,Francia – Frankreich,,,,,,
RED,Bourgogne,,,,,,
RED,Bourgogne Côte d'or Pinot noir,,2021,Pierre Morey,8, 23.80 € ,58
RED,Gevrey Chambertin Pinot Noir,,2021,Harmand-Geoffroy,8, 49.50 € ,105
RED,,,,,,,
RED,Bordeaux,,,,,,
RED,Saint-Georges-Saint-Emilion - Château Calon,,2018,Boidron,13, 19.40 € ,61
RED,(Cab.Sauv.-Cab.Franc-Merlot),,,,,,
RED,Pomerol,,2016,Château Cantelauze,9, 50.00 € ,105
RED,(Cab.Franc-Merlot),,,,,,
,,,,,,,
,Hofstätter Rosé,,2022,J.Hofstätter,8, 8.95 € ,31
,Rosé 2026,,2023,Elena Walch,8, 10.10 € ,33
,Rosè Marie biodyn,,2021,Tröpfltalhof,16, 18.50 € ,49
,Goldmuskateller,,2022,Kaltern,3, 7.20 € ,28
,"5Quintessenz Passito 0,375 l",HALF_BOTTLE,2018,Kaltern,3, 28.40 € ,66
,"5Quintessenz Passito 0,375 l",HALF_BOTTLE,2017,,2,,
,"Moscato Rosa 0,5",HALF_LITER,2022,Haas,7, 27.40 € ,59
