external_id,size,name,winery_name,vintage,supplier,purchase_price,price,retail_price,glass_price,quantity
151,BOTTLE,LR,Kellerei Schreckbichl,2017,WD, 56.00 € , 130.00 € , 112.73 € , € 21.67 ,1
152,BOTTLE,LR,Kellerei Schreckbichl,2019,WD, 64.00 € , 125.00 € , 128.83 € , € 20.83 ,6
152,BOTTLE,Appius,Kellerei St. Michael eppan,2016,Karner, 77.00 € , 159.00 € , 155.00 € , € 26.50 ,1
153,BOTTLE,Caroline,Weingut Pranzegg,2018,Karner, 18.62 € , 52.00 € , 37.48 € , € 8.67 ,6
154,BOTTLE,Eart,Bergmannhof,2020,WD, 24.00 € , 58.00 € , 48.31 € , € 9.67 ,8
155,BOTTLE,Dolomytos Weiss,Ansitz Dolomythos,2016,WS, 31.75 € , 68.00 € , 63.91 € , € 11.33 ,8
156,BOTTLE,Dolomytos Weiss,Ansitz Dolomythos,2007,WS, 40.90 € , 89.00 € , 82.33 € , € 14.83 ,3
156.5,BOTTLE,Dona Blanc,Hartmann Dona,2019,Akos, 19.90 € , 54.00 € , 40.06 € , € 9.00 ,9
157,BOTTLE,Ros`Anna Lacrima di Morro dÀlba,Tenuta di Fra  ,,Daniel, 8.85 € , 37.00 € , 17.82 € , € 6.17 ,0
158,BOTTLE,Rosé,Kellerei Nals Margreid,2021,FW, 7.35 € , 33.00 € , 14.80 € , € 5.50 ,0
160,BOTTLE,Le Rose de Manincor,Weingut Manincor,2022,O, 14.85 € , 44.00 € , 29.89 € , € 7.33 ,9
161,BOTTLE,upupa Rosa,Abraham,2022,WD, 12.50 € , 41.00 € , 25.16 € , € 6.83 ,9
161,BOTTLE,Rose Si,Duemani,2022,WD, 21.50 € , 57.00 € , 43.28 € , € 9.50 ,12
161,BOTTLE,Lagrein Rosé,Hochklasus,2021,Hochklaus, 12.50 € , 40.00 € , 25.16 € , € 6.67 ,13
162,BOTTLE,Lagrein Rose,Rottensteiner,2022,Karner, 7.50 € , 35.00 € , 15.10 € , € 5.83 ,9
163,BOTTLE,Nosiola Bio,Salvetta,2016,Akos, 11.50 € , 38.00 € , 23.15 € , € 6.33 ,4
164,BOTTLE,Pinot Grigio - bio,Cesconi,2022,WD, 11.20 € , 40.00 € , 22.55 € , € 6.67 ,17
165,BOTTLE,Massifitti Trebbiano di Soave,Suavia,2020,Cuzziol, 11.50 € , 40.00 € , 23.15 € , € 6.67 ,0
166,BOTTLE,Monte Carbonare,Suavia,2021,Cuzziol, 12.60 € , 42.00 € , 25.36 € , € 7.00 ,18
167,BOTTLE,Opera Semplice,Suavia,,Cuzziol, 18.00 € , 53.00 € , 36.23 € , € 8.83 ,9
168,BOTTLE,Pinot Grigio Sturm,Tenuta Sturm,2018,Karner, 11.00 € , 36.00 € , 22.14 € , € 6.00 ,11
169,BOTTLE,Adelchi Ribolla Gialla,Venica e Venica,2021,WD, 17.30 € , 52.00 € , 34.82 € , € 8.67 ,6
170.2,BOTTLE,Ribolla,Gravner,2012,Karner, 72.10 € , 145.00 € , 145.14 € , € 24.17 ,3
170.2,BOTTLE,Ribolla,Gravner,2015,Karner, 66.00 € , 132.00 € , 132.86 € , € 22.00 ,2
170,BOTTLE,Friulano,Ronco Severo,2020,WD, 20.50 € , 55.00 € , 41.27 € , € 9.17 ,5
171,BOTTLE,Greco di Tufo - Cutizzi,Feudi San Gregorio,2018,Akos, 9.50 € , 36.00 € , 19.12 € , € 6.00 ,0
172,BOTTLE,Fiano di Avellino - Pietra calda,Feudi San Gregorio,2018,Akos, 9.50 € , 36.00 € , 19.12 € , € 6.00 ,10
173,BOTTLE,Chardonnay ,Monteverro,2016,Karner, 61.00 € , 123.00 € , 122.79 € , € 20.50 ,3
174,BOTTLE,Vermentino BIO,Monteverro,2021,Karner, 11.50 € , 40.00 € , 23.15 € , € 6.67 ,13
175,BOTTLE,Riesling Herzu,Germano Ettore,2021,WD, 19.30 € , 54.00 € , 38.85 € , € 9.00 ,10
176,BOTTLE,Grillo,Caruso & M,2022,WD, 8.90 € , 37.00 € , 17.92 € , € 6.17 ,11
177,BOTTLE,Arneis  Camestri,Marco Porello,2022,Cuzziol, 8.70 € , 36.00 € , 17.51 € , € 6.00 ,9
178,BOTTLE,Derthona Timorasso,Borgogno,2021,WD, 23.90 € , 58.00 € , 48.11 € , € 9.67 ,6
179,BOTTLE,Derthona Timorasso Colli Torinesi,Mariotto,2021,WD, 10.69 € , 39.00 € , 21.52 € , € 6.50 ,6
179.5,BOTTLE,Cairossa Bianco,Caiarossa,2021,Akos, 15.50 € , 50.00 € , 31.20 € , € 8.33 ,2
179,BOTTLE,Reiterpfad,Von Winning,2018,WD, 23.50 € , 59.00 € , 47.31 € , € 9.83 ,8
